,dong,apt,addr_kr,exclusive_use_area,year_of_completion,floor,gu,transaction_real_price,predict,difference,ratio,ratio_Abs
0,신내동,성원,신내동 783 성원,84.32,1994,9,중랑구,33900,34641.91335259425,-741.9133525942525,-0.021885349634048746,0.021885349634048746
1,남가좌동,DMC센트레빌,남가좌동 381 DMC센트레빌,59.95,2010,9,서대문구,52000,49835.93261101483,2164.067388985168,0.041616680557407075,0.041616680557407075
2,장안동,장한평월드메르디앙,장안동 573 장한평월드메르디앙,84.81,2006,9,동대문구,40000,44745.31653301631,-4745.31653301631,-0.11863291332540775,0.11863291332540775
3,창동,창동주공3단지(해등마을),창동 347 창동주공3단지(해등마을),79.07,1990,2,도봉구,44900,42459.44442079064,2440.5555792093583,0.054355358111567,0.054355358111567
4,옥수동,옥수파크힐스,옥수동 528 옥수파크힐스,59.88,2016,12,성동구,84000,86704.33466342198,-2704.334663421978,-0.03219446027883307,0.03219446027883307
5,제기동,한신,제기동 1212 한신,59.84,2004,24,동대문구,37400,38253.59552338468,-853.5955233846835,-0.022823409716168006,0.022823409716168006
6,종암동,삼성래미안,종암동 80 삼성래미안,59.99,2004,2,성북구,38500,36837.67695091918,1662.32304908082,0.043177222054047275,0.043177222054047275
7,수유동,수유벽산1차,수유동 205 수유벽산1차,122.58,1993,11,강북구,41300,41318.70926010614,-18.709260106137663,-0.000453008719276941,0.000453008719276941
8,창동,초안산신도브래뉴,창동 821 초안산신도브래뉴,78.2974,2005,8,도봉구,34400,39042.782902689614,-4642.782902689614,-0.13496461926423298,0.13496461926423298
9,방배동,삼호 1동~3동,방배동 770-1 삼호 1동~3동,81.39,1975,12,서초구,68800,80875.75736623949,-12075.757366239486,-0.17551972916045766,0.17551972916045766
10,명일동,삼익그린2차,명일동 15 삼익그린2차,66.87,1983,6,강동구,61600,58935.62812274795,2664.3718772520515,0.043252790215130704,0.043252790215130704
11,창동,상아2차아파트,창동 300 상아2차아파트,58.59,1988,6,도봉구,29000,31991.615321820445,-2991.6153218204454,-0.10315914902829122,0.10315914902829122
12,정릉동,정릉하이츠빌2단지,정릉동 435 정릉하이츠빌2단지,84.95,2005,6,성북구,39000,40664.99405205742,-1664.9940520574164,-0.042692155180959396,0.042692155180959396
13,영천동,독립문삼호,영천동 100 독립문삼호,108.63,1995,1,서대문구,58000,53594.64996299943,4405.350037000571,0.07595431098276847,0.07595431098276847
14,중계동,성원1,중계동 580 성원1,59.75,1996,17,노원구,40900,38956.700429842946,1943.2995701570544,0.047513436923155364,0.047513436923155364
15,방화동,장미,방화동 841 장미,39.96,1994,5,강서구,27200,27420.8661620429,-220.86616204290112,-0.008120079486871365,0.008120079486871365
